timestamp,mode,result,steps,target_color,cup_init_x,cup_init_y,cup_init_z
2026-02-08 23:50:39,arm,fail,574,unknown,nan,nan,nan
2026-02-08 23:51:39,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:52:02,arm,success,197,blue,0.339286,0.085935,0.845000
2026-02-08 23:52:28,arm,success,234,red,0.180198,0.173288,0.845000
2026-02-08 23:53:28,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:53:51,arm,success,203,red,0.241529,0.064526,0.845000
2026-02-08 23:54:51,arm,fail,572,unknown,nan,nan,nan
2026-02-08 23:55:14,arm,success,203,red,0.217257,0.123691,0.845000
2026-02-08 23:56:14,arm,fail,570,unknown,nan,nan,nan
2026-02-08 23:57:15,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:58:15,arm,fail,571,unknown,nan,nan,nan
2026-02-08 23:58:41,arm,success,233,blue,0.257236,0.237339,0.845000
2026-02-08 23:59:03,arm,success,186,red,0.244545,0.051938,0.845000
2026-02-09 00:00:03,arm,fail,566,unknown,nan,nan,nan
2026-02-09 00:01:03,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:02:03,arm,fail,568,unknown,nan,nan,nan
2026-02-09 00:03:03,arm,fail,568,unknown,nan,nan,nan
2026-02-09 00:04:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:05:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:06:04,arm,fail,570,unknown,nan,nan,nan
2026-02-09 00:07:04,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:07:28,arm,success,214,blue,0.334697,0.102363,0.845000
2026-02-09 00:08:29,arm,fail,576,unknown,nan,nan,nan
2026-02-09 00:08:53,arm,success,218,red,0.197473,0.153311,0.845000
2026-02-09 00:09:54,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:10:54,arm,fail,571,unknown,nan,nan,nan
2026-02-09 00:11:54,arm,fail,575,unknown,nan,nan,nan
2026-02-09 00:12:16,arm,success,192,blue,0.336713,0.095522,0.845000
2026-02-09 00:13:16,arm,fail,573,unknown,nan,nan,nan
2026-02-09 00:13:41,arm,success,223,red,0.206328,0.141169,0.845000
2026-02-09 00:14:41,arm,fail,572,unknown,nan,nan,nan
